11,163
11,212
49,87
49,197
82,163
82,193
84,148
87,279
113,246
113,298
114,140
137,206
137,298
140,237
143,159
143,206
148,279
159,278
185,237
185,281
192,197
192,212
193,278
246,281
13,156
13,250
16,91
16,173
24,156
24,164
28,162
28,192
37,158
37,301
48,126
48,250
51,103
51,215
68,158
68,256
72,286
76,181
76,296
88,256
91,109
98,173
98,211
103,109
105,177
105,196
112,181
112,196
126,259
127,186
127,226
149,162
149,208
153,154
153,247
154,230
154,275
164,247
177,239
181,286
186,208
192,259
211,275
215,301
221,239
221,294
226,296
230,241
241,301
2,156
2,263
11,83
11,104
14,92
14,167
18,186
18,193
25,161
25,255
44,161
44,166
83,193
87,255
87,285
90,104
90,145
92,145
99,122
99,236
122,186
156,167
166,263
229,236
229,273
248,273
248,285
3,263
3,295
15,78
15,269
17,110
17,293
18,186
18,193
21,67
21,269
25,161
25,255
33,36
33,164
36,289
44,161
44,166
52,1
52,265
66,67
66,85
72,73
73,1
74,99
74,122
74,138
74,287
74,293
78,270
80,205
80,231
83,193
85,129
87,255
87,285
96,195
96,287
99,236
108,141
108,265
110,209
122,186
129,268
141,213
164,244
166,263
195,205
200,270
200,289
209,242
229,236
229,273
231,300
242,265
244,295
248,273
248,285
267,268
299,300
4,70
4,201
13,225
19,97
20,65
20,217
27,79
27,201
32,70
32,204
42,120
42,292
43,79
43,219
61,171
61,238
63,203
63,219
64,106
64,135
65,97
69,86
69,106
86,152
120,238
135,171
155,225
155,284
201,284
201,292
203,217
204,247
225,262
284,292
41,216
41,253
174,253
175,253
216,276
225,276
225,295
228,295
3,156
3,295
11,83
11,104
14,92
14,167
15,78
33,36
33,164
36,289
78,270
83,193
90,104
90,145
92,145
101,110
101,227
147,150
147,283
150,227
156,167
164,244
193,218
200,270
200,289
218,283
244,295
11,28
11,249
23,41
23,157
28,107
41,42
42,183
43,183
43,289
45,207
45,243
71,172
71,297
94,254
94,290
107,285
142,290
142,297
144,207
144,282
157,233
172,282
233,279
247,289
249,254
279,285
2,156
6,46
11,94
11,104
14,92
14,167
46,50
46,53
53,214
62,168
62,280
75,210
75,222
90,104
90,145
92,145
94,282
115,178
115,184
115,291
125,134
125,271
134,220
156,167
168,179
168,214
178,202
179,180
180,199
184,199
202,282
210,291
220,222
7,145
7,188
8,124
8,264
12,56
12,257
13,157
13,167
22,47
22,111
29,84
29,157
34,100
34,119
38,58
38,81
40,47
40,89
40,139
40,170
49,87
49,151
54,55
54,56
55,245
58,119
59,240
59,258
77,93
77,124
84,136
87,279
89,145
89,170
89,277
93,165
93,288
100,111
102,259
102,277
121,261
136,191
136,279
139,264
151,259
167,188
169,240
191,245
257,258
261,302
288,302
1,73
1,234
1,265
5,194
5,252
9,31
9,232
10,95
10,128
17,74
17,110
30,176
30,190
31,303
39,128
39,145
57,187
60,126
60,151
73,182
74,99
75,210
75,222
95,160
99,236
107,133
107,197
110,265
116,117
116,118
116,132
117,118
125,134
125,271
126,223
130,131
130,132
131,190
133,146
134,220
145,223
146,236
151,197
160,266
176,234
182,194
187,232
210,235
220,222
235,251
251,252
266,303
26,260
26,274
35,245
89,145
89,277
95,123
95,224
107,192
107,273
123,145
192,277
198,272
198,273
224,260
245,272
13,279
